metric_id,country_id,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,hiv_aids,schooling
56,56,2007,74.4,96,285,332,0.1,11.4
57,57,2008,74.5,97,266,308,0.1,11.9
58,58,2000,51.2,391,253,404,5,3.9
59,59,2009,74.9,93,248,288,0.1,12.2
60,60,2001,52.5,372,246,392,4.9,4.3
61,61,2010,57.4,283,239,321,1.6,0
62,62,2011,57.9,278,239,319,1.6,0
63,63,2012,58.3,277,239,317,1.5,0
64,64,2009,56.7,292,238,323,1.7,0
65,65,2013,58.8,272,238,314,1.2,0
66,66,2002,53.2,369,237,377,4.6,4.9
67,67,2008,56.3,295,237,324,1.8,0
68,68,2014,59.3,266,237,312,1.1,0
69,69,2007,55.7,299,236,326,1.9,0
70,70,2015,59.8,258,236,308,1.1,0
71,71,2006,55,36,235,327,2,0
72,72,2005,54.3,314,233,329,2,0
73,73,2004,53.5,323,232,330,2.1,0
74,74,2003,52.8,332,231,331,2.2,0
75,75,2000,65.3,173,231,316,0.1,7.3
76,76,2010,75,92,231,268,0.1,12.5
77,77,2002,52.1,341,229,331,2.4,0
78,78,2003,54,363,228,360,4.4,5.2
79,79,2001,51.8,34,227,332,2.4,0
80,80,2000,51.3,346,226,332,2.5,0
81,81,2001,65.8,168,219,298,0.1,7.5
82,82,2004,55,354,217,342,4.1,5.4
83,83,2011,75.2,91,215,251,0.1,12.8
84,84,2002,66.3,164,207,280,0.1,7.7
85,85,2005,56,343,206,323,3.7,5.8
86,86,2012,75.4,89,201,233,0.1,12.4
87,87,2006,57.2,328,196,304,3.3,6.6
88,88,2003,66.8,161,196,264,0.1,7.9
89,89,2000,66.3,188,187,237,0.1,10.7
90,90,2007,58.5,39,186,286,2.8,7.1
91,91,2004,67.3,158,185,247,0.1,8.1
92,92,2013,75.6,88,185,216,0.1,12.7
93,93,2001,66.5,188,182,229,0.1,10.6
94,94,2008,59.8,289,177,270,2.4,7.6
95,95,2002,66.7,189,177,222,0.1,10.6
96,96,2004,65.3,213,174,237,0.1,11
97,97,2005,67.8,155,174,231,0.1,8.2
98,98,2003,66.9,189,173,215,0.1,10.8
99,99,2014,75.8,86,171,198,0.1,13.1
100,100,2009,68,274,169,256,2,8.1
101,101,2006,68.2,152,164,215,0.1,8.4
102,102,2005,67.2,19,163,201,0.1,11.1
103,103,2010,61.8,261,162,243,1.7,8.1
104,104,2006,67.3,191,159,194,0.1,10.9
105,105,2015,76.1,85,157,183,0.1,13.5
106,106,2011,62.6,249,156,231,1.4,8.2
107,107,2007,68.6,151,154,201,0.1,8.6
108,108,2007,67.5,19,154,188,0.2,11
109,109,2012,63.3,241,150,221,1.2,8.4
110,110,2008,67.7,189,149,181,0.2,11.7
111,111,2013,63.7,237,145,211,0.9,8.4
112,112,2008,69.1,147,144,186,0.1,8.6
113,113,2009,67.9,189,143,174,0.3,11.7
114,114,2014,64.2,234,140,202,0.6,8.4
115,115,2010,68.1,187,138,167,0.3,12.1
116,116,2015,64.8,225,136,194,0.6,8.4
117,117,2009,69.5,144,135,173,0.1,8.4
118,118,2011,68.3,185,134,161,0.3,12.3
119,119,2012,68.5,183,129,154,0.3,12.6
120,120,2010,69.9,142,126,161,0.1,8.9
121,121,2013,68.7,181,124,148,0.3,12.9
122,122,2014,68.9,179,119,142,0.3,12.9
123,123,2011,73,14,118,150,0.1,9.4
124,124,2000,46.6,554,116,191,11.6,9.8
125,125,2001,47.7,539,115,187,10.8,10.8
126,126,2000,49.2,457,114,181,12.8,0
127,127,2015,69.1,176,114,136,0.3,12.9
128,128,2002,48.8,523,112,181,10,11
129,129,2000,75,183,111,127,0.1,14.1
130,130,2012,77,137,111,139,0.1,9.9
131,131,2001,49.6,46,110,173,12.5,0
132,132,2003,51,53,109,173,9.4,11.5
133,133,2002,52,46,106,166,12.1,0
134,134,2004,51.3,485,104,164,8.9,11.6
135,135,2013,71,135,104,130,0.1,10
136,136,2003,58,459,103,160,11.5,0
137,137,2001,71,179,103,118,0.1,14.3
138,138,2004,51.5,454,100,154,10.8,0
139,139,2005,53.2,446,99,155,8.7,10.9
140,140,2014,71.4,132,98,121,0.1,10
141,141,2005,52.2,449,97,149,10,0
142,142,2000,45.3,48,97,160,2,4.6
143,143,2001,45.7,44,97,159,2.1,5.1
144,144,2006,53.1,437,96,145,9.4,0
145,145,2002,46.5,391,96,157,2.3,5.5
146,146,2003,46.8,388,95,155,2.4,5.9
147,147,2002,71.4,176,95,109,0.1,14.6
148,148,2007,54.5,411,94,141,8.5,0
149,149,2004,47.1,386,94,152,2.5,6.4
150,150,2000,49,43,93,136,12.2,5.4
151,151,2006,54.9,41,93,145,8.6,10.6
152,152,2005,47.4,382,92,148,2.6,6.8
153,153,2008,56.2,376,92,138,7.4,0
154,154,2015,71.8,129,92,113,0.1,10.2
155,155,2009,56.9,368,91,135,6.4,0
156,156,2006,47.7,381,90,143,2.5,7.2
157,157,2001,49.5,48,90,132,13.4,5.8
158,158,2010,57.5,36,89,131,4.6,0
159,159,2011,58.3,348,88,128,3.1,0
160,160,2000,54.8,321,88,122,0.1,5.5
161,161,2001,55.3,316,88,122,0.1,5.9
162,162,2003,71.8,172,88,100,0.1,14.8
163,163,2007,55.5,41,88,137,8.4,10.3
164,164,2002,56.2,3,88,122,0.1,6.2
165,165,2002,49.8,416,87,127,14.5,6.2
166,166,2007,48.2,375,87,138,2.6,7.7
167,167,2012,58.6,348,87,126,2.4,0
168,168,2003,56.7,295,87,122,0.1,6.5
169,169,2004,57,293,87,120,0.1,6.8
170,170,2013,59.7,323,86,124,2.1,0
171,171,2014,67,34,86,121,1.4,0
172,172,2003,51,424,85,124,15.3,6.7
173,173,2005,57.3,291,85,118,0.1,7.9
174,174,2015,61.8,279,85,119,1.4,0
175,175,2008,48.7,371,84,133,2.6,8.1
176,176,2006,57.3,295,84,116,0.1,8.1
177,177,2008,56.3,41,84,130,8.2,10.6
178,178,2004,54,429,82,120,15.9,7
179,179,2009,57.5,378,82,124,8.1,10.8
180,180,2007,57.5,295,82,113,0.1,8.4
181,181,2009,49.1,369,81,127,2.5,8.5
182,182,2004,72,17,81,93,0.1,14
183,183,2005,58,434,80,117,16.2,7.3
184,184,2008,58.1,287,80,110,0.1,8.7
185,185,2010,58.4,362,79,119,8,10.9
186,186,2006,51.2,434,78,113,16.3,7.9
187,187,2010,49.6,365,78,121,2.5,9
188,188,2001,51.9,434,77,120,16.9,8.4
189,189,2000,51.9,428,77,121,18.1,8.4
190,190,2009,58.6,281,77,106,0.1,8.9
191,191,2002,52.1,437,76,118,15.7,8.5
192,192,2011,59.3,347,76,114,6.8,10.7
193,193,2011,51,361,75,115,2.5,9.4
194,194,2005,72.7,163,75,85,0.1,13.8
195,195,2003,52.4,437,74,115,14.5,8.2
196,196,2007,52.1,425,74,108,14.1,8.2
197,197,2010,58.8,279,74,102,0.1,9.2
198,198,2012,60,339,73,109,4.6,10
199,199,2000,62.1,243,73,100,0.4,7.5
200,200,2004,53,432,72,112,13.2,8.9
201,201,2012,56,358,72,110,2.6,10.3
202,202,2001,62.5,239,72,98,0.4,7.6
203,203,2008,53.2,45,72,104,12.6,8.8
204,204,2013,67,325,71,103,4,10
205,205,2000,58.6,284,71,109,0.1,5.5
206,206,2001,58.9,283,71,108,0.2,5.6
207,207,2011,59.2,275,71,97,0.1,9.5
208,208,2002,62.8,235,71,96,0.4,7.6
209,209,2005,54.1,412,70,108,11.6,9.6
210,210,2002,59.4,277,70,106,0.2,5.6
211,211,2006,73,161,70,79,0.1,13.8
212,212,2009,53.8,4,70,101,11.3,9.2
213,213,2013,51.1,355,69,105,2.3,11.4
214,214,2003,59.6,278,69,104,0.2,5.6
215,215,2012,59.5,272,69,93,0.1,9.8
216,216,2003,63.2,231,69,93,0.5,7.7
217,217,2000,66.8,219,69,90,0.1,11.4
218,218,2010,54,47,69,98,10.8,9.3
219,219,2006,55.3,388,68,104,10.3,9.7
220,220,2004,59.7,278,68,102,0.2,5.7
221,221,2002,66.8,221,68,89,0.1,11.4
222,222,2001,66.8,221,68,89,0.1,11.4
223,223,2014,61.5,38,68,97,3.2,10
224,224,2000,47.9,461,67,95,7.1,0
225,225,2014,51.7,348,67,101,2,11.4
226,226,2003,67.2,217,67,87,0.1,11.6
227,227,2007,56.8,356,66,100,9.1,10.1
228,228,2015,52.4,335,66,98,1.9,11.4
229,229,2015,62.3,291,66,93,3.1,10
230,230,2013,59.9,268,66,89,0.1,9.9
231,231,2005,67,261,66,101,0.2,6.1
232,232,2004,63.5,228,66,90,0.5,7.8
233,233,2004,67.3,218,66,86,0.1,11.6
234,234,2011,54.3,47,66,94,9.6,9.5
235,235,2006,61,26,66,99,0.2,6.2
236,236,2002,47.7,473,65,93,6.9,0
237,237,2001,47.8,467,65,94,7,0
238,238,2007,61.4,254,65,97,0.3,6.4
239,239,2005,67,223,65,84,0.1,11.6
240,240,2000,68.8,171,65,82,0.1,11
241,241,2007,73.3,159,65,73,0.1,13.5
242,242,2003,48,473,64,92,6.7,0
243,243,2004,48.2,472,64,91,6.5,0
244,244,2008,57.9,339,64,95,6.4,10.4
245,245,2014,59.9,271,64,86,0.1,10
246,246,2008,61.8,251,64,95,0.3,6.3
247,247,2005,63.9,224,64,87,0.5,7.9
248,248,2012,54.8,48,64,90,6.9,9.2
249,249,2005,48.7,466,63,90,6.1,0
250,250,2009,62,248,63,94,0.3,6.8
251,251,2006,67.3,219,63,82,0.1,11.5
252,252,2001,68.6,177,63,78,0.1,11.1
253,253,2006,49.4,452,62,89,5.8,0
254,254,2000,51.4,394,62,100,7.7,6.9
255,255,2009,59.1,317,62,91,5,10.7
256,256,2015,65,263,62,83,0.1,10.1
257,257,2010,62.5,243,62,92,0.3,7
258,258,2007,67.5,216,62,80,0.1,11.4
259,259,2013,55.3,46,62,87,5.1,9.1
260,260,2007,49.9,443,61,87,5.3,0
261,261,2014,56.7,375,61,84,4.1,9.1
262,262,2010,63,294,61,89,4.3,11.1
263,263,2011,62.7,241,61,91,0.3,7
264,264,2012,63.2,235,61,89,0.3,6.8
265,265,2002,68.7,177,61,75,0.1,11.2
266,266,2008,73.4,158,61,68,0.1,13.3
267,267,2001,51.5,41,61,99,7.9,7.1
268,268,2006,64.2,22,61,83,0.6,8
269,269,2008,54,437,60,85,4.1,0
270,270,2009,51,426,60,84,3.7,0
271,271,2011,51.7,419,60,83,3.3,0
272,272,2010,51.5,417,60,84,3.3,0
273,273,2003,51.8,412,60,95,7.7,8.1
274,274,2015,57.6,355,60,81,3.9,9.1
275,275,2011,61.2,278,60,86,3.4,11.1
276,276,2013,63.5,232,60,88,0.3,7
277,277,2008,67.5,217,60,78,0.1,11.5
278,278,2002,51.6,47,60,97,7.8,8.4
279,279,2000,49.8,37,60,111,2.5,4.4
280,280,2001,55,34,60,110,2.4,4.6
281,281,2002,51.2,31,60,108,2.3,4.9
282,282,2012,52,415,59,82,2.9,0
283,283,2013,52.3,412,59,81,2.4,0
284,284,2004,52.1,412,59,94,7.5,8.2
285,285,2003,52,299,59,106,2.2,5.2
286,286,2008,59.2,296,59,96,0.6,8.2
287,287,2012,62.1,263,59,84,3,11.1
288,288,2014,63.8,229,59,86,0.3,7.2
289,289,2009,68,219,59,76,0.1,11.7
290,290,2003,68.6,178,59,72,0.1,11.3
291,291,2006,53.3,394,58,91,7.2,8.2
292,292,2004,52.8,296,58,103,2,5.5
293,293,2000,50,284,58,128,1.5,2.8
294,294,2013,62.6,258,58,81,3,11.1
295,295,2015,64.1,225,58,85,0.3,7.2
296,296,2010,67.9,218,58,74,0.1,11.4
297,297,2007,64.5,217,58,78,0.6,8.1
298,298,2014,52.8,47,58,80,2,0
299,299,2005,52.8,4,58,93,7.4,8.3
300,300,2015,53.3,397,57,79,1.9,0
301,301,2007,53.6,395,57,89,7,8
302,302,2006,54.3,288,57,98,1.8,6.1
303,303,2001,56,283,57,127,1.6,2.9
304,304,2002,51.4,282,57,124,1.6,2.9
305,305,2011,68,218,57,72,0.1,11.5
306,306,2004,69,176,57,70,0.1,11.2
307,307,2009,73.6,157,57,64,0.1,13.8
308,308,2005,53.6,29,57,101,1.9,5.8
309,309,2008,54.2,382,56,87,6.7,8.8
310,310,2007,55,282,56,96,1.7,6.4
311,311,2004,52.9,279,56,118,1.6,3.1
312,312,2014,62.9,255,56,79,2.9,11.1
313,313,2012,68.1,217,56,71,0.1,11.6
314,314,2005,69.4,174,56,68,0.1,11.4
315,315,2003,52.1,28,56,121,1.6,3
316,316,2005,53.8,498,55,84,29.5,12.9
317,317,2004,53.7,497,55,83,29.7,12.9
318,318,2003,54,485,55,82,28.9,12.9
319,319,2008,55.5,278,55,94,1.6,5.8
320,320,2005,53.7,278,55,114,1.6,3.5
321,321,2009,56,276,55,93,1.6,7.1
322,322,2013,68.1,219,55,69,0.1,11.7
323,323,2006,69.5,175,55,66,0.1,11.5
324,324,2007,69.7,171,55,65,0.1,11.7
325,325,2011,74,168,55,64,0.1,12.4
326,326,2000,74.8,129,55,66,0.1,11.4
327,327,2006,54,496,54,82,28.1,12.9
328,328,2002,54.9,459,54,79,26.6,12.9
329,329,2009,54.8,373,54,85,6.3,9.2
330,330,2006,54.5,277,54,110,1.5,3.7
331,331,2010,56.5,273,54,91,1.5,7.3
332,332,2011,56.8,271,54,90,1.5,7.5
333,333,2015,63.4,249,54,75,2.8,11.1
334,334,2014,68.4,214,54,68,0.1,11.7
335,335,2009,69.9,174,54,64,0.1,12
336,336,2010,70,173,54,64,0.1,12.2
337,337,2008,69.8,172,54,65,0.1,11.9
338,338,2012,72,165,54,64,0.1,12.4
339,339,2013,79,159,54,63,0.1,12.8
340,340,2010,73.8,154,54,61,0.1,13.8
341,341,2007,55.2,276,53,106,1.4,3.8
342,342,2013,57.3,275,53,86,1.6,8
343,343,2014,78,161,53,62,0.1,13.1
344,344,2010,55.3,37,53,82,5.5,9.7
345,345,2012,57.2,27,53,88,1.5,7.7
346,346,2001,56,429,52,76,24,13
347,347,2010,52.4,336,52,83,0.8,0
348,348,2008,51.9,336,52,84,0.9,0
349,349,2009,52.2,335,52,84,0.8,0
350,350,2014,57.8,272,52,85,1.6,8.2
351,351,2008,56,272,52,102,1.3,4
352,352,2015,58.2,266,52,84,1.5,8.4
353,353,2009,65.2,211,52,69,0.6,8.5
354,354,2015,68.5,211,52,66,0.1,11.7
355,355,2001,75,126,52,62,0.1,11.6
356,356,2007,51.5,34,52,84,0.9,0
357,357,2000,43.1,588,51,84,25.5,10.7
358,358,2007,54.5,486,51,79,26.4,12.9
359,359,2000,57.3,397,51,73,21.3,13
360,360,2011,55.6,371,51,79,4.9,10
361,361,2006,51.5,337,51,83,0.9,0
362,362,2012,53.1,336,51,82,0.8,0
363,363,2011,53.1,329,51,82,0.8,0
364,364,2014,54.3,321,51,80,0.8,0
365,365,2013,54.2,318,51,81,0.8,0
366,366,2009,57.1,263,51,99,1.1,4.2
367,367,2015,79,159,51,60,0.1,13.1
368,368,2011,74.1,152,51,57,0.1,14
369,369,2008,55.3,473,50,75,23.5,12.9
370,370,2012,55.9,369,50,76,4.6,10.4
371,371,2005,51.6,334,50,82,0.9,0
372,372,2015,55,312,50,80,0.7,0
373,373,2010,58.2,252,50,95,0.9,4.5
374,374,2011,59.4,241,50,93,0.7,4.8
375,375,2004,51.2,341,49,80,0.9,0
376,376,2002,51,338,49,93,3.2,3.6
377,377,2003,51.6,332,49,92,2.9,3.8
378,378,2004,52.4,323,49,91,2.5,3.9
379,379,2012,63,232,49,90,0.7,5.1
380,380,2013,69,227,49,89,0.6,5.3
381,381,2014,61.4,223,49,88,0.5,5.3
382,382,2012,74.5,148,49,54,0.1,14.2
383,383,2002,75,127,49,58,0.1,11.6
384,384,2010,65.4,29,49,65,0.5,8.8
385,385,2015,61.8,22,49,87,0.4,5.4
386,386,2001,43.5,599,48,80,25.1,10.1
387,387,2013,56.4,364,48,73,4,10.4
388,388,2000,51,348,48,92,4,3.4
389,389,2001,56,344,48,93,3.6,3.5
390,390,2003,51.1,344,48,78,0.9,0
391,391,2005,53.3,313,48,89,2.3,4.3
392,392,2000,68,252,48,66,0.1,7.7
393,393,2014,56.7,366,47,71,3.7,10.4
394,394,2002,58,348,47,77,0.9,0
395,395,2006,54.3,32,47,86,2,4.7
396,396,2011,65.6,27,47,61,0.5,9.1
397,397,2009,56.5,449,46,70,19,12.8
398,398,2008,49.6,394,46,80,4.7,6
399,399,2007,49.4,394,46,80,4.9,5.7
400,400,2012,51.8,367,46,79,3.6,7.3
401,401,2013,52.2,366,46,78,3.1,7.3
402,402,2011,51.6,365,46,79,3.9,6.7
403,403,2010,51.2,364,46,80,4.1,6.7
404,404,2014,52.6,362,46,78,2.9,7.3
405,405,2015,53.1,356,46,77,2.8,7.3
406,406,2001,57,352,46,75,0.8,0
407,407,2007,55.3,293,46,83,1.7,4.9
408,408,2001,61.1,251,46,63,0.1,7.9
409,409,2000,62.5,238,46,62,0.1,8.9
410,410,2013,74.7,146,46,52,0.1,14.2
411,411,2003,75,127,46,55,0.1,11.9
412,412,2002,44,67,46,75,24.7,10.4
413,413,2009,57,37,46,80,4.4,6.3
414,414,2006,48.5,414,45,80,5.1,5.5
415,415,2015,57.3,357,45,68,3.5,10.4
416,416,2000,55,355,45,74,0.8,0
417,417,2008,56.1,288,45,80,1.5,5.4
418,418,2005,48.6,46,45,79,5.2,5.6
419,419,2002,61.5,25,45,61,0.1,8
420,420,2000,43.8,614,44,72,18.7,9.6
421,421,2009,56.9,283,44,77,1.1,5.9
422,422,2000,57.9,283,44,68,0.6,8
423,423,2014,74.8,144,44,49,0.1,15.2
424,424,2000,74,143,44,54,0.1,10.7
425,425,2004,75.4,124,44,52,0.1,12.1
426,426,2004,48.5,45,44,78,5.2,5.6
427,427,2003,48.4,43,44,77,5.1,5.4
428,428,2012,65.9,25,44,58,0.5,9.1
429,429,2003,44.6,613,43,70,24.2,10.3
430,430,2001,44.6,611,43,70,18.6,9.8
431,431,2010,58,428,43,62,11,12.8
432,432,2011,58.9,413,43,58,8.5,12.8
433,433,2013,69,371,43,54,4.5,12.8
434,434,2010,57.5,279,43,74,1,6.3
435,435,2003,61.9,249,43,58,0.1,8.2
436,436,2012,59.2,48,43,56,7.6,12.8
437,437,2002,48.1,43,43,76,5,5.1
438,438,2000,57.2,38,43,65,3.6,7.7
439,439,2001,63.2,23,43,58,0.1,9
440,440,2014,62,347,42,52,3.7,13
441,441,2015,62.9,328,42,52,3.6,13
442,442,2001,58.7,276,42,65,0.7,8.2
443,443,2011,58.1,275,42,71,0.9,6.7
444,444,2004,62.2,247,42,56,0.1,8.4
445,445,2015,75,142,42,47,0.1,15.2
446,446,2005,75.3,126,42,49,0.1,12.2
447,447,2001,57.4,39,42,64,3.5,8
448,448,2002,57.6,31,42,63,3.5,7.6
449,449,2013,66.2,22,42,55,0.4,9.1
450,450,2001,48,4,42,75,4.8,4.9
451,451,2005,58.9,296,41,62,3.1,8.1
452,452,2006,59.4,288,41,62,2.9,8.7
453,453,2008,63,275,41,61,2.2,9.8
454,454,2012,58.6,271,41,68,0.8,7.2
455,455,2009,66,271,41,60,2.1,10.4
456,456,2002,59.3,271,41,63,0.7,8.3
457,457,2002,45.5,69,41,66,18.4,10
458,458,2000,47.6,44,41,74,4.6,4.7
459,459,2003,57.9,38,41,63,3.4,7.9
460,460,2004,58.3,34,41,62,3.2,7.7
461,461,2007,59.9,28,41,61,2.6,9.1
462,462,2001,78,14,41,50,0.1,11.1
463,463,2004,45.1,615,40,65,23.4,10
464,464,2003,59.9,268,40,60,0.7,8.5
465,465,2010,69,267,40,59,1.9,10.5
466,466,2011,61.2,263,40,58,1.3,10.9
467,467,2005,62.6,245,40,53,0.1,8.6
468,468,2002,63.1,238,40,54,0.1,8.6
469,469,2006,75.8,125,40,47,0.1,12.2
470,470,2013,59,27,40,66,0.7,7.5
471,471,2014,66.4,21,40,52,0.3,9.1
472,472,2014,59.3,268,39,63,0.6,7.7
473,473,2012,61.6,257,39,56,0.9,11.2
474,474,2006,63,242,39,51,0.1,8.7
475,475,2015,66.6,199,39,50,0.3,9.1
476,476,2005,46,66,39,62,22.4,9.7
477,477,2003,46.4,64,39,62,18.2,10.2
478,478,2006,47.1,587,38,61,21.1,9.6
479,479,2004,64,267,38,58,0.6,8.7
480,480,2013,61.9,254,38,55,0.9,11.5
481,481,2002,71.2,138,38,46,0.1,11.5
482,482,2007,76,123,38,45,0.1,12.3
483,483,2015,59.9,26,38,61,0.6,7.7
484,484,2007,63.4,24,38,49,0.1,8.6
485,485,2003,64.3,22,38,50,0.1,9.2
486,486,2007,48.5,559,37,59,19.3,9.7
487,487,2000,52.5,328,37,60,3,4.8
488,488,2005,69,265,37,56,0.6,8.9
489,489,2014,62.1,253,37,54,0.8,11.7
490,490,2015,62.4,249,37,52,0.7,11.4
491,491,2008,63.8,238,37,47,0.1,8.5
492,492,2014,65.4,228,37,47,0.1,9
493,493,2015,65.7,224,37,47,0.1,9
494,494,2008,75.6,127,37,43,0.1,12.3
495,495,2004,47.9,578,36,59,17.6,10.5
496,496,2008,50,525,36,58,16.9,9.6
497,497,2009,51.5,491,36,56,14.9,9.9
498,498,2001,52.5,336,36,58,3,5.1
499,499,2006,61.4,263,36,54,0.6,9
500,500,2012,64.7,236,36,46,0.1,9
501,501,2009,64.1,235,36,46,0.1,8.4
502,502,2013,65.4,226,36,46,0.1,9
503,503,2009,75.7,13,36,42,0.1,12.5
504,504,2010,52.9,462,35,54,13.7,10.2
505,505,2002,52.9,337,35,56,3,5.5
506,506,2007,61.9,261,35,51,0.6,9.1
507,507,2011,64.6,234,35,45,0.1,8.6
508,508,2010,64.4,233,35,45,0.1,8.5
509,509,2004,64.7,218,35,47,0.2,9.3
510,510,2003,71.6,135,35,43,0.1,11.9
511,511,2010,75.6,127,35,40,0.1,12.5
512,512,2000,73,15,35,43,0.1,11.6
513,513,2005,49.3,554,34,55,17,10.7
514,514,2000,48.3,426,34,57,8.5,6.6
515,515,2003,53.3,338,34,55,2.9,5.9
516,516,2008,62.3,259,34,49,0.5,9.4
517,517,2011,76.1,124,34,39,0.1,12.6
518,518,2006,58,526,33,52,15.9,10.9
519,519,2001,48.6,438,33,54,8.1,7.1
520,520,2004,54,334,33,53,2.8,5.1
521,521,2009,62.8,254,33,47,0.5,9.7
522,522,2001,78,146,33,40,0.1,11.6
523,523,2000,73.4,139,33,43,0.1,10.4
524,524,2004,72,132,33,39,0.1,12
525,525,2012,76.3,123,33,38,0.1,12.7
526,526,2005,65.4,28,33,44,0.2,9.4
527,527,2007,52.6,487,32,51,13.6,11.1
528,528,2011,54.1,441,32,50,11.2,10.6
529,529,2005,54.7,327,32,51,2.7,6.6
530,530,2010,63.3,248,32,45,0.5,10.2
531,531,2014,67.9,199,32,39,0.1,10.1
532,532,2015,68.9,182,32,38,0.1,10.1
533,533,2008,69.3,167,32,38,0.1,10.3
534,534,2009,74,148,32,39,0.1,10.3
535,535,2012,76,147,32,39,0.1,10.5
536,536,2010,76,145,32,39,0.1,10.4
537,537,2011,77,144,32,39,0.1,10.4
538,538,2001,73.6,138,32,41,0.1,10.6
539,539,2013,69.5,17,32,39,0.1,10.3
540,540,2013,76.6,12,32,37,0.1,12.9
541,541,2002,57,415,31,50,8,7.2
542,542,2006,55.6,317,31,49,2.6,7.1
543,543,2006,64.7,249,31,38,0.1,10.2
544,544,2011,63.8,241,31,43,0.4,10.2
545,545,2007,65.9,227,31,38,0.1,10.2
546,546,2002,71.2,142,31,37,0.1,11.9
547,547,2014,76.6,122,31,36,0.1,13.1
548,548,2008,55.7,45,31,49,11.9,11.4
549,549,2012,55.3,42,31,46,8.3,10.7
550,550,2000,48.9,38,31,50,2.7,0
551,551,2007,56.4,36,31,48,2.4,7.6
552,552,2005,66.8,29,31,37,0.1,10.1
553,553,2006,66,21,31,41,0.2,9.6
554,554,2008,48.2,632,30,46,20.5,9.7
555,555,2009,50,587,30,45,18.1,9.9
556,556,2001,41,519,30,48,1.5,7
557,557,2002,48,513,30,48,1.7,7.2
558,558,2004,42.3,496,30,47,2.1,7.6
559,559,2006,44.3,464,30,46,2.2,8
560,560,2002,52,382,30,48,3.3,0
561,561,2001,49.6,381,30,49,3,0
562,562,2009,57.4,368,30,47,9.1,11.6
563,563,2010,58,363,30,45,6.8,11.8
564,564,2012,64.3,235,30,42,0.4,10.2
565,565,2003,66.5,213,30,37,0.1,9.4
566,566,2000,67.1,189,30,36,0.1,10.6
567,567,2000,70,144,30,37,0.1,8.6
568,568,2001,72,142,30,37,0.1,8.7
569,569,2003,74,137,30,37,0.2,10.9
570,570,2002,73.8,137,30,39,0.2,10.7
571,571,2005,72.4,129,30,36,0.1,11.9
572,572,2015,76.7,122,30,35,0.1,13.3
573,573,2003,41.5,57,30,47,1.9,7.4
574,574,2005,43.3,48,30,47,2.2,7.8
575,575,2008,56.8,33,30,47,2.3,7.9
