factor_id,metric_id,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,polio,total_expenditure,diphtheria,gdp,population,income_composition_resources
104,104,0.7,38.33793462,75,1010,22.1,76,2.16,75,1168.84,51448196,0.54
105,105,8.19,780.0336423,76,39,45.7,77,7.75,79,5786.60,49557573,0.616
106,106,0.3,9.53048032,85,333,18.3,85,1.87,85,643.95,49479752,0.493
107,107,4.49,7.883791474,4,817,54.8,99,5.59,99,635.79,49175848,0.669
108,108,0.26,0.5305728,85,1088,17.6,84,1.68,86,41.45,49171586,0.484
109,109,8.48,805.490079,83,31,45,79,7.53,82,6125.40,48883845,0.612
110,110,0.28,4.632776304,75,760,17,82,1.78,82,296.97,48846474,0.474
111,111,4.31,8.897421459,7,16970,55.1,99,5.66,99,78.74,48683865,0.673
112,112,0.28,2.793843188,62,314,16.4,86,1.83,73,247.24,48482614,0.465
113,113,0,0,91,1,57.9,91,,91,644.53,48228697,0.724
114,114,4.38,1435.487755,9,0,57.2,9,7.2,9,7913.38,47791911,0.72
115,115,0.4,3.824212472,8,830,15.2,86,1.97,78,219.78,47624894,0.445
116,116,4.41,15.16255482,91,1,56.4,91,6.84,91,83.59,47342981,0.712
117,117,0,0,89,95,22,83,,89,1349.97,47236259,0.55
118,118,4.44,1487.896562,92,1,55.7,91,6.93,91,7884.98,46881475,0.707
119,119,9.62,4873.8188,97,3802,64.1,97,9.48,97,31834.22,46742697,0.867
120,120,0.38,1.917164,0,2519,14.1,77,1.8,73,138.92,46627994,0.427
121,121,9.78,578.7417172,97,302,63.5,97,9.56,97,3736.23,46576897,0.86
122,122,0,0,97,115,66.6,97,,97,25683.85,46447697,0.882
123,123,6.93,519.1563781,71,244,42.2,7,8.26,69,3775.68,46418194,0.613
124,124,9.99,5047.254058,96,41,62.9,96,9.52,96,32333.47,46362946,0.858
125,125,7.04,346.5316007,72,1043,41.6,7,8.9,7,2518.40,45855483,0.62
126,126,4.34,941.6464045,92,0,53.5,92,7.1,92,5148.42,45416181,0.691
127,127,7.38,365.2585722,72,1166,4.9,71,8.31,71,2681.78,45312937,0.629
128,128,8.06,5.663849328,22,0,6.7,45,7.1,23,314.66,45271947,0.746
129,129,7.3,45.96380839,73,1459,4.1,71,8.7,73,337.23,44896856,0.635
130,130,1.84,165.9304977,93,190,2.7,94,5.57,87,1229.11,44826849,0.541
131,131,11.86,4460.390006,97,362,61.1,98,8.23,98,28482.69,44397319,0.844
132,132,4.66,780.5946749,93,0,52,93,6.25,93,4674.22,44374572,0.675
133,133,4.53,62.43710774,93,0,51.3,94,6.11,93,379.79,43835722,0.669
134,134,11.92,405.4475981,96,22,6.5,96,8.12,96,2651.72,43653155,0.837
135,135,1.81,154.2269697,94,0,2.1,94,5.49,94,1155.26,43646629,0.536
136,136,0,0,94,0,62.8,93,,94,13467.12,43417765,0.826
137,137,4.38,531.9808176,93,0,5.5,93,5.82,93,3386.26,43285634,0.658
138,138,7.93,847.3717463,94,1,62.2,92,4.79,94,12245.26,42981515,0.825
139,139,11.96,3715.370095,97,26,59.9,97,8.5,97,24918.65,42921895,0.833
140,140,4.26,42.17956418,89,0,49.8,89,5.37,89,274.25,42724163,0.658
141,141,8.28,1001.796332,94,0,61.6,99,4.99,94,12976.64,42539925,0.823
142,142,1.8,109.7051836,96,2395,19.5,97,5.23,96,987.45,42486839,0.53
143,143,12.09,3205.019918,81,256,59.3,99,7.99,98,21495.77,42187645,0.83
144,144,4.25,417.8038898,92,0,49,92,5.92,92,2246.26,42152151,0.659
145,145,8.11,1504.329462,91,3,6.4,93,5.89,91,12726.98,41656879,0.816
146,146,4.45,393.8773633,78,139,48.2,83,5.67,81,2355.73,41572491,0.656
147,147,12.26,228.3543024,82,67,58.8,98,7.25,98,1719.54,41431558,0.828
148,148,8.15,187.610955,94,17,59.8,95,6.55,94,1276.27,41223889,0.802
149,149,0,0,95,63,59.5,95,,95,4132.76,39871528,0.743
150,150,1.71,60.5153506,88,1282,17.9,88,3.9,88,916.90,39148416,0.506
151,151,7.53,96.16653429,88,0,56.9,95,6.85,98,576.88,39145488,0.78
152,152,0.01,54.2373183,95,0,58.4,95,7.21,95,547.85,39113313,0.741
153,153,0.01,14.16770158,78,314,18.1,82,7.22,78,719.17,38833338,0.483
154,154,7.63,719.3663797,81,0,56.3,91,6.84,98,4251.57,38728696,0.775
155,155,0.53,544.4507432,95,25,57.2,95,7.12,95,5471.87,38338562,0.737
156,156,8.4,412.4323974,99,77,53.1,98,5.5,98,4492.73,38258629,0.777
157,157,9.19,648.0743453,98,11,55,99,6.19,99,6681.18,38182222,0.8
158,158,9.5,79.41502672,98,13,55.5,99,6.2,99,821.25,38165445,0.797
159,159,10.4,9.1455559,98,120,56,99,6.17,99,94.77,38141267,0.803
160,160,11.4,15.71474837,98,0,57.2,96,6.88,99,141.45,38125759,0.813
161,161,0,0,96,0,61.7,92,,98,12565.99,37986412,0.852
162,162,0.01,253.6086508,94,676,0,94,8.43,94,2176.90,37737913,0.485
163,163,0.66,555.9260834,95,18,56.1,95,6.14,95,5564.83,37565847,0.732
164,164,0.01,90.76144414,78,7878,17.6,82,7.47,78,662.49,37553726,0.478
165,165,0.01,227.8353208,93,2813,0,93,8.42,93,1955.67,36849918,0.478
166,166,0.56,509.0020405,95,112,55,95,5.29,95,5432.25,36819558,0.724
167,167,0.45,430.7175861,95,103,53.9,95,5.12,95,4463.39,36117637,0.714
168,168,0,0,56,1433,59.1,63,,58,4974.27,36115649,0.649
169,169,8.1,102.1902168,55,418,66.4,91,1.45,91,544.43,35544564,0.912
170,170,2.12,196.6892153,93,5616,0,93,8.3,93,1666.86,35167314,0.463
171,171,8.2,9733.228019,55,83,65.8,91,1.67,91,52413.72,35155451,0.909
172,172,1.77,172.0097884,75,680,0,9,7.97,9,1476.48,34385963,0.461
173,173,10.03,116.202964,8,1313,16.3,79,11.2,8,595.00,33915133,0.473
174,174,0.01,447.3695001,66,669,57.8,7,5.92,68,6925.22,33883145,0.659
175,175,0.45,179.8598949,99,92,56.5,99,5.94,99,3111.76,33824769,0.634
176,176,0.36,270.2401962,8,944,49.8,95,3.36,95,3464.62,33777915,0.686
177,177,0.01,71.27962362,65,1154,19.1,6,8.16,65,584.26,33736494,0.479
178,178,8.4,864.94993,42,14,63.6,89,11.17,91,4773.45,33628571,0.898
179,179,0.55,19.15853732,99,668,55.5,99,6.15,99,294.75,33333789,0.623
180,180,0.5,2.548922758,83,2302,48.9,88,3.24,88,31.12,33288437,0.68
181,181,8.3,8433.936814,28,62,63,89,1.3,92,46596.34,33245773,0.897
182,182,2.01,128.6362711,78,129,0,85,8.17,86,1291.53,32955496,0.444
183,183,8.3,7946.743581,14,101,62.5,9,9.83,94,44544.53,32887928,0.894
184,184,0.54,22.0945504,98,982,54.6,98,5.99,99,339.92,32858823,0.612
185,185,0.01,429.6625083,61,15,57.2,7,5.26,69,6651.12,32776571,0.656
186,186,9.63,87.04534954,79,1601,15.9,78,8.43,79,647.18,32771895,0.464
187,187,1.63,3.847602867,0,11304,14.7,77,4.62,8,41.78,32321482,0.447
188,188,2.01,86.13166944,78,327,0,84,4.72,84,1115.70,32282526,0.44
189,189,0.62,188.2902861,98,834,52.7,99,5.67,99,2861.55,31989897,0.596
190,190,0.01,73.21924272,64,430,18.1,62,8.13,64,631.74,31731688,0.47
191,191,9.79,72.85023656,71,1319,15.6,69,9.1,71,449.69,31663896,0.453
192,192,0.51,171.3658969,97,1455,51.7,99,5.41,99,2884.95,31596855,0.589
193,193,0.23,147.9860714,0,2686,45.3,89,3.84,89,1732.86,31592153,0.644
194,194,0,0,9,4,55.6,88,,9,63.34,31376671,0.737
195,195,0.56,157.6431445,95,2248,5.8,95,5.48,95,2494.35,31225881,0.581
196,196,0.2,185.6366983,75,30328,55.2,78,4.65,78,3735.14,29894652,0.643
197,197,0.58,88.16506179,9,10841,47.3,91,5.25,91,1721.97,29843937,0.551
198,198,4.83,759.5380695,91,0,52.9,91,4.93,91,5771.57,29759989,0.721
199,199,0.46,66.72933871,92,6000,46.5,94,5.31,94,1413.76,29512368,0.54
200,200,1.74,35.35264737,0,4381,0,69,3.18,69,477.74,29435944,0.409
201,201,4.72,69.43934508,93,0,52.2,92,5.3,93,522.49,29373646,0.708
202,202,0.46,71.11645,84,2724,45.7,93,4.44,96,1336.78,29181832,0.53
203,203,0.17,192.1562998,66,5494,54.5,71,3.93,69,4521.32,29111417,0.638
204,204,0.45,63.42140024,43,7368,44.8,95,4.18,95,1332.38,28849621,0.519
205,205,1.59,30.62287548,0,4529,0,6,2.95,6,412.15,28679565,0.403
206,206,0,0,91,1599,19.1,9,,91,743.77,28656282,0.555
207,207,0.51,9.23002632,96,1569,36.3,96,3.89,96,145.13,28635128,0.774
208,208,0.01,8.523486403,92,1279,18.5,92,5.8,92,76.24,28323241,0.551
209,209,4.29,516.4037021,93,0,5.2,93,4.6,93,3611.21,28292724,0.696
210,210,0.49,65.56659662,96,73,35.3,96,3.99,96,971.36,28112289,0.764
211,211,4.22,448.7670462,94,0,49.5,94,4.47,94,3171.50,27949944,0.693
212,212,0.03,75.25799773,59,474,53.2,63,3,59,2351.81,27697912,0.631
213,213,0.26,80.58788376,9,3362,17.4,9,5.89,9,681.79,27649925,0.538
214,214,0,0,88,23,28.6,88,,88,1361.11,27582821,0.575
215,215,9.89,36.60609252,62,141,14.2,58,8.9,62,288.24,27568436,0.427
216,216,0.27,112.1229028,92,2359,16.9,92,6.73,92,692.12,27327147,0.529
217,217,4.27,356.9393805,92,0,48.1,81,4.56,86,2448.14,27273194,0.685
218,218,0.01,54.91159475,79,9,22.2,79,6.98,79,623.29,27212382,0.409
219,219,0.01,97.67794571,98,124,28,93,3.56,98,1432.23,26962563,0.576
220,220,4.5,34.70333523,65,0,47.4,95,4.6,94,218.26,26937738,0.686
221,221,0.43,409.9812523,96,394,32.5,97,3.61,97,7269.17,26625845,0.736
222,222,0.02,10.91015598,63,1141,15.2,63,6.73,63,369.84,26616792,0.415
223,223,0.21,70.27113179,82,2089,15.4,82,6.44,82,473.84,26475859,0.492
224,224,1.16,5.813338496,78,8,21.8,78,5.9,78,65.99,26434372,0.405
225,225,0.01,28.66897829,9,319,27.3,91,4.63,9,1814.49,26346251,0.57
226,226,4.22,302.5359058,0,0,46.1,9,4.98,9,1981.24,26261363,0.677
227,227,0.2,52.22906505,82,1415,14.9,82,5.84,82,393.88,26214847,0.486
228,228,0.42,365.9113978,95,564,31.6,95,3.65,95,6222.98,26143566,0.732
229,229,4.59,297.5112337,0,1,45.4,93,4.83,98,1996.72,25914879,0.674
230,230,0.46,297.5913833,96,1407,3.7,96,3.29,96,5593.82,25659393,0.734
231,231,0.07,0,63,0,51.3,73,4.36,75,NULL,25627626,0.616
232,232,0.09,22.8478308,85,8419,25.6,86,2.93,85,362.66,25232263,0.677
233,233,1.64,225.2219474,91,120,26.1,91,4.81,91,1574.98,25121796,0.554
234,234,0.15,0,65,0,5.6,76,,77,NULL,24939299,0.614
235,235,10.57,26.97625217,0,48543,13.3,56,7.26,55,234.98,24854892,0.396
236,236,0.08,211.8783404,81,21893,23.8,81,2.71,81,3634.28,24577511,0.662
237,237,0.19,23.18394594,0,6749,12.4,72,5.6,72,246.38,24566342,0.447
238,238,0.17,0,66,4088,5.1,8,,78,NULL,24251649,0.607
239,239,8.06,239.8913921,72,1449,21,73,3.38,71,4299.13,24218565,0.495
240,240,7.32,83.16465362,96,876,55.3,96,8.32,93,1226.62,24213133,0.747
241,241,0.49,216.7029481,95,408,27.9,94,3.4,94,4167.36,24198811,0.723
242,242,0.09,21.92813881,0,10849,11.9,73,5.36,72,248.62,24161777,0.446
243,243,0.02,15.29606643,67,466,13.8,5,8.79,5,219.14,24118979,0.381
244,244,0.08,125.7980678,82,20818,22.1,85,2.83,78,2254.45,23934478,0.645
245,245,0,0,93,74,66.6,93,,93,56554.39,23789338,0.937
246,246,0.2,0,67,726,49.5,83,,8,NULL,23565413,0.603
247,247,7.8,191.6537407,77,1190,2.4,81,3.39,77,3529.53,23369131,0.488
248,248,9.87,11734.85381,91,158,65.5,91,9.36,91,67792.34,23117353,0.933
249,249,0.06,72.0159316,66,20422,19.7,78,2.91,72,1586.25,22983822,0.632
250,250,0.87,79.50882493,74,6,19.5,73,4.15,74,461.72,22961146,0.508
251,251,1.48,0.796915785,75,4,19.7,74,4.91,75,53.13,22846758,0.372
252,252,0,0,84,1809,29,83,,84,1244.43,22834522,0.514
253,253,10.03,11714.99858,91,199,65,92,9.36,92,67677.63,22728254,0.93
254,254,0.06,5.381782562,65,15853,19,79,2.79,72,126.93,22671273,0.629
255,255,7.01,212.9229325,61,2807,19.8,63,4.37,6,3347.84,22549547,0.48
256,256,0.05,8.460155758,64,24457,17.5,8,2.53,71,164.59,22545214,0.613
257,257,10.16,152.6368899,98,35,51.4,99,4.33,99,1668.16,22442971,0.703
258,258,0.87,59.97914461,7,2,19,71,3.46,7,443.96,22346573,0.506
259,259,1.03,53.9502789,75,267,19.3,75,5.25,75,422.15,22188387,0.36
260,260,1.7,129.0263364,84,420,23,84,4.64,84,922.94,22113425,0.51
261,261,0.01,16.88735091,64,2486,13,36,7.76,36,187.85,21979923,0.341
262,262,0.97,78.79967196,73,0,18.5,73,4.24,73,454.96,21743949,0.504
263,263,0.01,63.07890158,89,760,27.8,88,4.29,89,1365.34,21655715,0.501
264,264,8.78,375.1740323,98,9,52.9,97,5.3,97,2774.96,21574326,0.722
265,265,1.2,58.59644487,75,183,18.9,73,6.51,78,385.76,21547463,0.353
266,266,9.82,431.3250367,99,117,53.4,97,5.43,97,3552.92,21451748,0.733
267,267,7.68,615.4030781,98,5043,53.9,97,5.47,97,4676.32,21319685,0.745
268,268,0.06,3.43334364,65,3344,15.4,72,1.98,75,78.93,21154429,0.597
269,269,0.68,6.448762615,77,3,17.1,77,4.5,77,47.73,19996469,0.491
270,270,9.59,1230.748231,96,1159,59.2,88,5.6,92,9585.27,19983693,0.794
271,271,1.6,3.336437969,8,12289,2.7,8,3.7,78,39.48,19924522,0.484
272,272,0,0,65,7693,19.3,65,,65,359.00,19896965,0.351
273,273,0,0,9,4,6.7,89,,89,8958.79,19815481,0.798
274,274,1.68,42.52689559,76,28898,17.7,67,6.39,85,283.89,19716598,0.318
275,275,5.04,98.19145117,0,258,17.7,39,4.1,38,1443.99,19552542,0.426
276,276,0.71,55.43034455,84,0,16.7,83,4.98,84,377.85,19433523,0.483
277,277,5.89,9.042540892,8,251,25.4,79,5.7,8,123.20,19432541,0.473
278,278,7.21,526.3780636,96,0,5.3,99,8.24,99,8787.61,19297929,0.704
279,279,0.01,3.304039899,68,1142,18.9,67,5.82,68,43.65,19148219,0.345
280,280,2.16,40.82597077,76,7155,17.3,76,6.45,76,262.88,19139658,0.311
281,281,7.19,394.9321299,99,0,49.4,99,8.28,99,7313.56,19126637,0.7
282,282,1.1,17.81205644,0,40044,12.2,58,4.4,59,466.28,18987112,0.499
283,283,1.6,20.65432873,0,23068,19.5,88,3,88,263.11,18938762,0.48
284,284,0,0,72,386,25.4,72,,72,1431.24,18938513,0.548
285,285,0.97,122.6523334,83,517,48.5,83,3.78,8,1762.25,18914977,0.636
286,286,7.1,30.30374691,99,57,48.6,99,8.36,99,586.15,18912412,0.698
287,287,3.53,8.8667775,0,29,17.2,4,4.71,4,141.87,18865716,0.415
288,288,0,0,41,45,57.1,5,,41,NULL,18734987,0.553
289,289,2.09,37.82511936,25,7085,16.9,72,5.64,73,256.44,18588758,0.298
290,290,4.93,998.3498049,98,6,56.4,98,6.4,98,7986.80,18472228,0.719
291,291,0.01,31.50243237,67,1224,18.5,56,5.9,67,416.15,18426372,0.341
292,292,5.44,7.562892922,82,100,24.4,81,4.76,82,111.71,18395389,0.456
293,293,0.72,33.74786198,81,0,15.8,8,5.3,85,274.82,18336724,0.473
294,294,0.92,116.2585943,83,375,47.6,83,4.11,8,1577.46,18294611,0.624
295,295,5.22,0.962497052,81,196,23.8,78,4.69,81,12.99,17899562,0.456
296,296,0,0,97,9,63.8,96,,96,13653.23,17762681,0.845
297,297,0.01,29.75517982,71,272,18.1,71,6.11,71,391.52,17731634,0.331
298,298,7.16,2352.999591,95,0,63.1,95,7.79,95,14817.38,17613798,0.841
299,299,0.01,8.386339501,91,343,18.8,91,4.96,91,75.15,17585977,0.398
300,300,2.82,24.037942,0,11945,16.3,37,3.63,41,711.18,17572649,0.401
301,301,0,0,98,526,53.1,98,,98,159.98,17544126,0.793
302,302,7.2,2442.222054,9,0,62.5,9,7.53,91,15941.40,17462982,0.831
303,303,1.29,94.75639211,81,801,46,85,5.12,83,1253.39,17415266,0.599
304,304,6.29,24.44473709,95,321,52.3,95,4.36,95,1286.57,17289224,0.789
305,305,0.93,37.12894787,61,62233,15,65,4.81,66,316.80,17279141,0.457
306,306,8.3,194.2032879,46,52852,24.1,46,3.7,46,2996.96,17182933,0.514
307,307,7.26,211.614293,94,6,61.2,93,7,94,1475.69,17153357,0.82
308,308,4.9,920.8284115,98,64,55.7,98,6.11,98,7199.60,16995583,0.714
309,309,7.93,177.4925143,92,0,6.6,92,6.97,92,1286.18,16993354,0.815
310,310,2.58,30.35993647,0,9046,15.8,41,5.38,38,526.17,16983266,0.391
311,311,0.01,46.56231672,73,290,23.2,74,6.86,73,825.57,16962846,0.43
312,312,0,0,94,7,62.1,95,,95,44292.88,16939923,0.923
313,313,7.67,181.525923,94,1,59.9,94,7.39,94,1243.33,16829442,0.816
314,314,6.82,235.3566066,95,55,5.6,98,4.32,99,12387.19,16791425,0.774
315,315,1.29,93.50075111,8,290,44.6,83,4.92,82,1258.42,16766899,0.589
316,316,0.9,47.5262138,51,10795,14.7,61,5.29,62,262.29,16765117,0.462
317,317,9.05,1162.656768,2,10,6.5,97,11.1,97,49474.76,16754962,0.921
318,318,7.31,241.5533381,95,0,59.3,95,6.87,95,1781.37,16661942,0.804
319,319,9.33,1035.621437,0,15,59.3,97,1.48,97,5338.25,16615394,0.906
320,320,0.01,55.83107625,89,1,18.8,89,1.96,89,332.92,16577147,0.459
321,321,4.75,78.76987363,9,7362,17.7,9,5.33,9,673.82,16571216,0.384
322,322,4.64,67.63925302,0,899,22.3,72,4.97,73,824.87,16513822,0.452
323,323,7.39,209.4875875,92,0,58.7,95,6.35,96,1526.88,16491687,0.797
324,324,0.01,36.86104319,69,221,22.5,7,6.58,69,777.66,16477818,0.421
325,325,9.62,10873.40554,0,109,57.9,97,9.57,97,56928.82,16445593,0.905
326,326,0.12,5.883760536,7,372,17.3,75,6.36,7,348.15,16425578,0.312
327,327,9.53,9689.732784,0,10,57.3,97,9.36,97,51241.32,16381696,0.899
328,328,0.03,5.447133608,65,1129,2.6,7,3.26,62,139.31,16364463,0.513
329,329,0.03,3.912744517,75,2801,2.1,75,3.35,75,95.43,16332974,0.505
330,330,6.83,11.1516268,99,4,49.2,98,4.42,99,97.65,16321581,0.763
